Initial molecule ; Modified molecule
O=S(=O)(Nc1ccc(C(F)(F)F)c2ncccc12)c1ccccn1 ; O=[N+]([O-])c1ccc(NS(=O)(=O)c2ccccn2)c2cccnc12
[N-]=[N+]=NCCCS(=O)(=O)c1nnnn1-c1ccccc1 ; [N-]=[N+]=NCCCS(=O)(=O)c1c(-c2ccccn2)ccs1
CNc1ccc(C(=O)Nc2cccc(-c3nc(Nc4cc(C(=O)N5CCCCC5)ccc4N)c[nH]c3=O)c2C)cc1 ; CNc1ccc(C(=O)Nc2cc(-c3nc(Nc4cc(OCN5CCOCC5)ccc4N)c[nH]c3=O)ccc2SC)cc1
Cc1cccc(NS(=O)(=O)c2ccc(N3CCNC3=O)cc2)c1 ; Cc1csc(NS(=O)(=O)c2ccc(N3CCNC3=O)cc2)n1
CCOc1ccc(N=C(C)c2c(C)[nH]n(-c3nc4ccccc4s3)c2=O)cc1 ; CCSc1ccc(N=C(C)c2c(C)nc(-c3ccc4scnc4c3)[nH]c2=O)cc1
COc1ccccc1N1CCN(C(=O)c2ccc(C[S+]([O-])c3ccccc3C)o2)CC1 ; CSc1cccnc1[S+]([O-])Cc1ccc(C(=O)N2CCCN(c3ccccc3O)CC2)o1
COc1ccccc1CNC(=O)Nc1nnc(-c2ccncc2)s1 ; COc1ccccc1C(=O)NCC(=O)N(C)c1nnc(-c2ccncc2)s1
CCCCCn1cc(C(=O)c2ccc(CCCC)c3ccccc23)c2ccccc21 ; OC(Nc1ccc2cc(C3CCC3)ccc2c1)c1cn(N2CCCCC2)c2ccccc12
CCCc1ccc(C(=O)Oc2cc3ccc(CCC)cc3s2)cc1 ; CCCSc1ccc2cc(OC(=O)c3ccc(OC)cc3)sc2c1
COc1ccc(-n2nc(N)cc2S(=O)(=O)c2ccccc2)cc1OC ; CCS(=O)(=O)[n+]1ccc(-n2cccc2NO)cc1-c1ccc(OC)c(F)c1
CCCCCn1cc(C(=O)c2ccc(F)c3ccccc23)c2ccccc21 ; O=C(c1ccc(F)c2ccccc12)c1cn(N2CCCCC2)c2ccccc12
CC(C)NC(=O)COC(=O)c1ccccc1C(=O)c1ccc(Cl)c([N+](=O)[O-])c1 ; [C-]#[N+]c1cc(C(=O)c2ccccc2C(=O)OCC(=O)NC(C)CC)ccc1Cl
COc1cc(C=C2SC(=O)NC2=O)ccc1Oc1ccc(C#N)cc1 ; COc1cc(C=C2SC(=O)NC2=O)ccc1Oc1ccc(C=N)cn1
CCCCN(CC)C(=O)CSc1nc2ccsc2c(=O)n1-c1ccccc1 ; CCSCCc1nc2c(scc2)c(=O)n1-c1ccccn1
O=C(C=C(C(=O)c1ccccc1)c1ccccc1)c1ccccc1 ; O=C(C(=CC(=O)c1ccccn1)c1ccccc1)c1ccccc1
C=CCn1c(Cc2ccccc2)nnc1SCC(=O)Nc1nc(-c2ccccc2)cs1 ; C=CCn1c(Cc2ccccn2)nnc1SCC(=O)NCc1nc(-c2ccccn2)cs1
O=C(NCc1cccnc1)c1ccc(NS(=O)(=O)c2ccccc2)cc1 ; O=C(NCc1cccnc1)c1ccc(NS(=O)(=O)c2ccccn2)cc1
COc1ccccc1-c1cc2c(NCc3ccccc3)ncnc2s1 ; CCCc1ccccc1-c1cc2c(NNc3ccccn3)ncnc2s1
Clc1cccc(CSc2nnc(-c3ccc(Cl)cc3Cl)o2)c1 ; CCc1cccc(C(C)c2nnc(-c3ccc(C#N)cc3NC)o2)c1
NCCCCCC(=O)Nc1nc(-c2cc3ccccc3o2)cs1 ; NCCCCCC(=O)Nc1cc(-c2cc3ccccc3o2)cs1
O=C(Nc1ccccc1[N+](=O)[O-])c1ccc2ccccc2c1O ; O=C(Nc1ccccc1[N+](=O)[O-])c1ccc2ccccc2c1I
Cc1noc2ncnc(N3CCN(c4cccc(C(F)(F)F)c4)CC3)c12 ; Cc1noc2ncnc(C3CCN(c4cncc(C(Cl)(Cl)Cl)c4)CC3)c12
CCCc1ccc(C#N)c(SCc2nnc(-c3ccccc3)o2)n1 ; CCCSc1cnc(C#N)nc1SCc1nnc(-c2ccccc2)s1
CCCOc1cc(CNS(=O)(=O)c2cccnc2)ccc1Br ; CCCOc1cccc(CNS(=O)(=O)c2cccnc2)c1[O-]
CC(=O)c1ccc(Sn2nnnc2-c2cccc(C)c2C)c([N+](=O)[O-])c1 ; [C-]#[N+]c1nc(C(C)=O)ncc1CCNn1nnnc1-c1cccc(SC)c1O
C=S(=O)(Nc1nc2ccccc2nc1Nc1ccc2c(c1)OCO2)c1ccc(Br)cc1 ; C=S(=O)(Nc1nc2ccccc2nc1C1CCC(c2ccc3OCCOc3c2)CC1)c1ccc([O-])cc1
COc1ccc2nc(Nc3nc(C)c(C(C)=O)s3)sc2c1 ; CNC(=O)c1c(N)nc(NNc2ccc3nc(F)sc3c2)s1
CC(=O)Nc1ccc2nc(NC(=O)COc3ccc(C)c(C)c3)sc2c1 ; CC(=O)NCc1nc2ccc(C(=S)NC(=O)c3ccc(N)c(C)c3)cc2s1
Cc1ccc(CC(=O)NN2CCc3ccccc3C2)cc1S(=O)(=O)N1CCOCC1 ; CSc1cn(CC(=O)Nc2ccc3CCCCc3c2)nc1CS(=O)(=O)CC1CCOCC1
Cn1nnnc1Sc1ccc(C(=O)c2ccccc2)cc1[N+](=O)[O-] ; [C-]#[N+]c1cc(C(=O)c2ccccc2)cnc1Sc1nnnn1C
CC(=O)Nc1nc(C)c(-c2csc(Nc3cccc(N=[N+]=[N-])c3)n2)s1 ; CSc1c(-c2cccc(Nc3cccc(ON=[N+]=[N-])c3)c2)sc(NC(C)=O)n1
O=C(Nc1cccc(C(=O)Nc2ccncc2)c1)c1ccccc1 ; O=C(Nc1cc(CNC(=S)NNc2ccncc2)ccc1)c1ccccn1
O=[N+]([O-])c1ccccc1CS(=O)(=O)c1cccc[n+]1[O-] ; O=[N+]([O-])c1ccccc1CS(=O)(=O)c1cccc[n+]1Br
Nc1cc2c(Nc3ccc4c(ccn4Cc4ccccc4)c3)ncnc2cn1 ; Nc1cc2c(Nc3ccc4c(c3)ccn4Cc3ccccn3)ncnc2cn1
N#Cc1cc(NC(=O)CCl)n(-c2ccc(F)cc2)n1 ; N#Cc1nn(-c2ccc(F)cn2)c(NC(=O)C(Cl)(Cl)Cl)c1
Cc1cnc(-c2cnc(Cl)cc2-c2cn3c(n2)CN(NC(=O)c2ccccc2)CC3)c(C)c1 ; CSc1cc(N)cnc1-c1cnc(C2CCCCC2)cc1-c1cn2CCN(NC(=O)c3cnccn3)Cc2n1
CCCCOc1cc(C=CC(=O)OCCOCC)ccc1OCCc1ccc([N+](=O)[O-])cc1 ; [C-]#[N+]c1ccc(Oc2ccc([B]C)cc2OCCOC)nc1
CCn1ccc(C(=O)Nc2nc(-c3ccc(C)c(C)c3)cs2)n1 ; CSc1nc(-c2csc(NC(=O)c3cc(=O)n(Cl)[nH]3)n2)ncc1N
Cc1cc(NC(=O)C(Cl)(Cl)Cl)n(-c2ccccc2)n1 ; O=C(Nc1cc(CCO)nn1-c1ccccn1)C(Cl)(Cl)Cl
N#Cc1cc(C(=O)c2ccc(O)cc2Br)cn2cc(-c3ccccc3)nc12 ; N#Cc1cc(C(=O)c2ccc(O)cc2[O-])cn2cc(-c3ccccn3)nc12
Cc1ccc(C(=O)c2ccc(-c3ccccc3)cc2)cc1 ; C=CCc1ccc(C(=O)c2ccc(-c3ccccn3)cn2)cc1
O=S(=O)(Nc1nc2ccccc2nc1Nc1ccc2c(c1)OCO2)c1ccc(Br)cc1 ; O=S(=O)(Nc1nc2ccccc2nc1Nc1ccc2OCCOc2c1)c1ccc([O-])cn1
O=C(COc1ccccc1F)Nc1nc(-c2ccc(S(=O)(=O)N3CCOCC3)cc2)cs1 ; O=C(COc1cnccc1F)Nc1nc(-c2ccc(S(=O)(=O)C3CCOCC3)cc2)cs1
Cc1ccc(NC(=O)COc2ccc3nc([N+](=O)[O-])sc3c2)c(Br)c1 ; CSc1ncc(NC(=O)COc2cc3cc(C(=O)OCC(=O)NC(C)(C)C)ccc3o2)c([O-])n1
O=[N+]([O-])c1cccc(Nc2nc(-c3cccs3)cs2)c1 ; O=[N+]([O-])c1csc(Nc2nc(-c3nccs3)cs2)n1
O=C(Nc1nnc(-c2ccncc2)s1)Nc1cc(C(F)(F)F)ccc1F ; O=C(Nc1cc(C(C(F)(F)F)C(F)(F)F)ccc1F)Nn1[nH]c(-c2cnccn2)cc1=O
CCCCc1ccc(-n2nnnc2Sc2ccc(C(N)=O)cc2[N+](=O)[O-])cc1 ; [C-]#[N+]c1cc(C(C)=CN)cnc1C(C)=NCc1nnnn1-c1ccc(C(C)(C)CC)cn1
CCOc1ccc(OCc2ccc(C(=O)Nc3ccc(Cn4nc(C)cc4C)cc3)cc2)cc1 ; CCOc1ccc(OCc2ccc(C(=S)Nc3ccc(CCNc4ccc(N)nc4C)cc3)cc2)cc1
C=CCN1C(=O)C(=Cc2ccc(C)cc2)C(=O)NC1=S ; C=CCN1C(=O)C(=Cc2ccc(SC)cn2)C(=O)NC1=S
Cc1cc(Cl)ccc1N(C(=O)CCl)C(C(=O)C1CN(C)CCN1)c1cccs1 ; Cc1cc(Cl)ccc1N(C(=O)CCl)C(C(=O)C1=CC=C(CCO)CC1)c1nccs1
COc1ccccc1C(=O)NC1NC=C(C(C)C)C1c1nc2ccccc2s1 ; COc1cn2ncc(C(=O)NC3NC=C(C(C)C)C3c3ccc4scnc4c3)c2nc1
Cc1nc2ccc(NC(=O)c3cc(N(C)S(=O)(=O)c4ccccc4)ccc3Cl)cc2s1 ; CNc1ccc(N(C)S(=O)(=O)c2ccccc2)cc1C(=O)Nc1c2nc(O)sc2ccc1
CCc1ccc(Nc2n[n+](C)c(-c3ccncc3)s2)cc1 ; CCc1ccc(NNc2n[n+](N)c(-c3ccncc3)s2)cc1
Cc1cc(-c2cc(S(=O)(=O)Nc3ccccc3)ccc2C)ccc1NS(=O)(=O)c1ccccc1 ; C=CCc1ccc(S(=O)(=O)Nc2cnccn2)cc1-c1ccc(NS(=O)(=O)c2ccccn2)c(N)c1
Cc1ccc(S(=O)(=O)C(NC(=O)c2ccc(Cl)cc2)=C(Cl)Cl)cc1 ; C=CCc1ccc(S(=O)(=O)C(NC(=O)c2ccc(Cl)cn2)=C(Cl)Cl)cc1
Cc1cc(Sc2ccccc2[N+](=O)[O-])nc(Cl)n1 ; CNc1nc(SC)nc(CCNn2cccc2C(=O)OCC(=O)NC(C)(C)C)c1
O=C(CC(c1ccccc1)C1CCCCC1=O)c1ccccc1 ; C=CCC(C=CC(=O)c1ccccn1)c1ccccc1
Cc1noc2ncnc(NCC3CCN(Cc4ccc(Cl)cc4)CC3)c12 ; CNc1ccc(OCCC2CCC(C3CCC(c4c5c(O)noc5ncn4)C3)C2)cc1
COc1ccccc1NS(=O)(=O)c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1N1CCCCC1 ; C=S(=O)(Nc1ccccc1OC)c1cc(NC(=O)Nc2ccc(C3CCCCCC3)cc2)ccc1N(CC)CC
C=CC(=O)Nc1cc(S(=O)(=O)N(C)C)ccc1Cl ; C=CC(=O)Nc1cc(S(=O)(=O)N(C)C)ccc1NC
O=C(CSc1ccc2nc(C(=O)Nc3ccccc3Cl)sc2c1)NC1CCCCC1 ; CCCCCCNC(=O)Nc1ccc2nc(CNC(=S)NNc3ccccc3NC)sc2c1
COc1ccccc1C(=O)N1CCC(Cc2ccccc2)CC1 ; O=C(c1ccccc1F)N1CCC(Cc2ccccn2)CC1
Nc1cc2nc(-c3cccc(Br)c3)cc(=O)n2[nH]1 ; Nc1ccnc2c1cnn2-c1cccc([O-])c1
C=CCOC(=O)C(C#N)=Cc1ccc(-n2cncn2)cc1 ; C=CCOC(=O)C(C#N)=Cc1ccc(-n2cncn2)cn1
Cc1ccc(NNC(=S)Nc2cc(Cl)cnc2C(F)(F)F)c(C)c1 ; CSc1cc(C)ccc1C=CC(=O)c1cc(C2CCCCCC2)cnc1C(F)(F)F
Cc1cc(N)nc(Sc2ccc([N+](=O)[O-])cc2)n1 ; [C-]#[N+]c1ccc(Sn2c(C)nnc2N)nc1
O=C(NC(=S)Nc1ccc(Cl)cc1Cl)c1cccc(Cl)c1 ; CNc1cc(C(=O)N(C)c2ccc(Cl)cc2Cl)ccc1
CCOc1ccc(NC(=O)C2Cc3ccccc3CN2C(=O)c2cccc(Oc3ccccc3)c2)cc1 ; CCOc1ccc(NC(=O)C2Cc3ccccc3CN2N(C)c2cccc(Oc3ccccn3)c2)cc1
COC(=O)c1ccccc1NC(=O)CN(c1ccc(C)cc1)S(=O)(=O)c1ccccc1 ; COC(=O)c1ccccc1NC(=S)N(CCCc1ccc(CCO)cc1)Cc1ccccn1
O=C(c1ccccc1)c1cccnc1N1CCN(Cc2nc3ccccc3c(=O)[nH]2)CC1 ; O=C(c1ccccc1)c1cccnc1C1CCN(CCc2nc3ccccc3c(=O)[nH]2)CC1
Cc1ccccc1C(=O)Nc1ccc(S(=O)(=O)N2CCC(c3nc4ccccc4s3)CC2)cc1 ; Cc1ccncc1SCC(=O)Nc1ccc(S(=O)(=O)C2=CCN(c3ccc4scnc4c3)CC2)cc1
CCCc1cc(=O)n2[nH]c(-c3cccc(Br)c3)cc2n1 ; CCCc1cc(=O)n2[nH]c(-c3cccc([O-])c3)cc2n1
CCn1c(O)c(N=NC(=S)Nc2ccccc2S(N)(=O)=O)c2ccccc21 ; CCNn1c(O)c([Se][Se]c2ncccc2S(=O)(=O)NC)c2ccccc21
Cc1ccc(C(=O)Nc2ccc(-c3ccc(OC4CCN(C)CC4)cc3)cc2)cc1 ; CSC1CCC(Oc2ccc(-c3ccc(NC(=S)c4ccc(C)cc4)cc3)cc2)CC1
CCn1c(O)c(N=NC(=S)Nc2cccc(S(N)(=O)=O)c2)c2ccccc21 ; C#Cc1c([Se][Se]c2cncc(S(=O)(=O)NC)c2)c2ccccc2n1NCC
COc1ccc(-c2[nH]ncc2C=NNC(=O)c2cc(O)ccc2O)cc1 ; COc1ccc(-c2c(C=NNC(=O)c3cc(O)ccc3I)cn[nH]2)cc1
Cc1ccc(C)c(Nc2ncnc(N)c2[N+](=O)[O-])c1 ; [C-]#[N+]c1c(N)ncnc1Nc1cc(O)ccc1C
CCCc1nc(SCC(=O)Nc2ccc(S(=O)(=O)N(C)C)cc2)c2ccccc2n1 ; COc1nc(SCC(=O)Nc2ccc(S(=O)(=O)N(C)C)cc2)c2ccccc2n1
Cc1cc2nn(-c3ccc(F)cc3)nc2cc1NC(=O)c1ccc2c(c1)OCCO2 ; CCCSc1ccc(-n2nc3cc(NC(=O)c4ccc5OCCOc5c4)c(SC)cc3n2)cc1
O=c1c(Cl)c(CNn2ccc(-c3ccccc3)n2)cnn1Cc1ccccc1 ; Clc1csc2nc(CNn3ccc(-c4ccccn4)n3)nc(CCc3ccccc3)c12
CC(C)N1CCN(S(=O)(=O)c2ccc(NC(=O)Nc3ccc(C(F)(F)F)cc3)cc2)CC1 ; CCCN1CCCN(c2ncc(S(=O)(=O)N(CC)CC)cc2NC(=O)Nc2ccc(C(Cl)(Cl)Cl)cn2)CC1
COc1ccccc1C(=O)Nc1ccc(O)c(-c2nc3ccccc3s2)c1 ; COc1ccccc1C(=O)COC(=O)c1ncc(OC)c(-c2ccc3scnc3c2)n1
COc1ccc(C(C(=O)NC2CCCCC2)N(C(=O)CCl)c2ccc(Cl)cc2)cc1 ; CNc1ccc(N(C(=O)CCl)C(C(=O)NC2CCCCC2)c2ccc(F)cc2)cc1
NS(=O)(=O)c1ccc(NC(=O)Nc2cc(C(F)(F)F)ccc2F)cc1 ; NS(=O)(=O)c1ccc(C(=O)NCCCc2cccc(C(C(F)(F)F)C(F)(F)F)c2F)cc1
O=C(Nc1ccc(Cl)cc1)C1Cc2ccccc2CN1C(=O)c1cccc(Cc2ccccc2)c1 ; CN(c1cccc(CCc2ccccn2)c1)N1Cc2ccccc2CC1C(=O)Nc1ccc(C#N)cc1
COc1ccc(CN(C)C(=O)c2cccnc2)cc1S(=O)(=O)Nc1ccc(Br)cc1 ; COc1cnccc1C(=O)N(C)Cc1ccc(S(=O)(=O)N=Nc2ccc([O-])cc2)cn1
CNS(=O)(=O)c1cc(C(=O)Nc2cc(Cl)ccc2[N+](=O)[O-])ccc1C ; CNS(=O)(=O)c1cc(C(=O)Nc2cc(C3CCCCCC3)ccc2[N+](=O)[O-])ccc1SC
COc1ccc(S(=O)(=O)CCC(=O)Nc2nc(-c3cc4ccccc4o3)cs2)cc1 ; CCCc1ccc(NC(=O)CCNS(=O)(=O)c2nc(-c3cc4ccccc4o3)cs2)cc1
CCN(CC)S(=O)(=O)c1ccc(Cl)c(NC(=O)CCl)c1 ; CN(C)S(=O)(=O)c1ccc(C#N)c(NC(=O)CCCl)c1
CCC(CC)c1nnc(NC(=O)c2ccc(Cl)c(S(=O)(=O)N3CCc4ccccc4C3)c2)s1 ; CCC(CC)c1cnc(NC(=O)N2CCc3c(S(=O)(=O)c4ccc(Cl)cc4)cccc3C2)s1
O=C(Nc1ncccc1Oc1cccnc1C(=O)Nc1ccccc1)c1ccccc1 ; O=C(Nn1cnc2c1c(=O)n(C=NNc1cccnc1C(=O)Nc1cnccn1)cn2)c1ccccn1
O=C(Nc1cccc(OC(F)(F)F)c1)Nc1nnc(Cc2ccncc2)s1 ; O=C(NCCCc1nnc(Cc2ccncc2)s1)c1cc(OCC(F)(F)F)ccc1
CCOC(=O)C=CC(=O)Nc1ccc(S(N)(=O)=O)cc1 ; CNS(=O)(=O)c1ccc(C=C2SC(=S)NC2=O)nc1
CC1CC(C)CN(S(=O)(=O)c2ccc(C(=O)N3CCN(c4ccccc4)CC3)cc2)C1 ; CC1CC(O)CN(S(=O)(=O)c2ccc(C(O)NN3CCN(c4ccccn4)CC3)cc2)C1
CCCCCc1nnc(NC(=O)c2ccc(Cl)c(S(=O)(=O)N(CC)CC)c2)s1 ; C=CCCc1nnc(NNC(=S)NCc2ncc(C#N)c(S(=O)(=O)N(CC=C)CC=C)n2)s1
Cc1ccc(C)c(NC(=S)NNc2ncc(C(F)(F)F)cc2Cl)c1 ; CNc1cc(C(C(F)(F)F)C(F)(F)F)cnc1C(=O)C(=O)c1cc(O)ccc1C
O=C(OCC(=O)N1CCCCCC1)c1ccccc1C(=O)c1ccc(Cl)c([N+](=O)[O-])c1 ; [C-]#[N+]c1cc(C(=O)c2ccccc2CC(=O)OCC(=O)N2CCCCCC2)ccc1Cl
CCCCNS(=O)(=O)c1cccc(C(=O)Nc2nnc(Cc3ccc(Cl)cc3)s2)c1 ; CCCCNS(=O)(=O)c1ccnc(C(=O)Nc2nnc(CCOc3ccc(NC)cn3)s2)c1
O=[N+]([O-])c1cnc(N2CCCCC2)c([N+](=O)[O-])c1 ; O=[N+]([O-])c1cnc(N2CCOCC2)c([N+](=O)[O-])c1
CCN(CC)S(=O)(=O)c1ccc(C=Cc2nc3cc(C)c(C)cc3s2)cc1 ; C=CCN(CC=C)S(=O)(=O)c1ccc(NCCc2nc3c(N)cc(SC)cc3s2)cc1
CC=C1C(=O)OC(c2ccc(OCc3ccc([N+](=O)[O-])cc3)c(OCC)c2)(C(C)(C)C)OC1=O ; [C-]#[N+]c1ccc(COc2ccc(C3(SC(C)(C)C)OC(=O)C(=CC)C(=O)O3)cc2OCC)nc1
O=C(c1cccc(S(=O)(=O)N2CCN(c3ccccc3)CC2)c1)N1CCCCCCC1 ; O=C(c1nc(S(=O)(=O)N2CCN(c3ccccn3)CC2)ccc1)N1CCCCCCC1
Nc1nccc(-c2c[nH]c3ncc(-c4ccsc4)cc23)n1 ; CC(N)n1ccc(-n2c(-c3cocc3)nc3ccccc32)n1
CCCCCOc1ccc(COc2ccc(C=C3SC(=S)NC3=O)cc2)cc1 ; CCOCCSc1ccc(N(O)c2ccc(C=C3SC(=S)NC3=O)cn2)cc1
CCCC(=O)Nc1ccc(-c2csc(NC(=O)Cc3ccc(OC)cc3)n2)cc1 ; CN(CCc1nc(-c2ccc(NC(=O)CCCCl)cc2)cs1)C(=O)CSc1ccc(F)cc1
O=C(CCc1ccc(F)cc1)Nc1ncc([N+](=O)[O-])s1 ; [C-]#[N+]c1cnc(N2NC(=O)C(=Cc3ccc(F)cc3)C2=O)s1
Cc1ccc(NS(=O)(=O)c2ccccc2Cl)c(C(=O)Nc2ccc([N+](=O)[O-])c(C)c2)c1 ; [C-]#[N+]c1c(NC(=O)c2cc(N)ccc2C(=O)N(C(C)(C)C)S(=O)(=O)c2cnccc2Cl)cccc1C
O=C(OCC(=O)N1CCCCCC1)c1ccccc1C(=O)c1ccc(Cl)c([N+](=O)[O-])c1 ; [C-]#[N+]c1nc(N(C)c2c3ncc(C(=O)OCC(=O)C4CCCCCC4)cn3nc2)ncc1C#N
CN(c1ccccc1)S(=O)(=O)c1cc(CCCNC(=O)N2CCOCC2)ccc1Cl ; CNc1ccc(CCCNC(=O)N2CCOCC2)cc1S(=O)(=O)CCc1ccccn1
COc1ccc(OC)c(NS(=O)(=O)c2ccc(NC(=O)Nc3ccc(Cl)cc3)cc2)c1 ; CNc1ccc(NC(=O)Nc2ccc(S(=O)(=O)Nc3cc(OC)ccc3OC)cc2)cc1
NC(CNc1csc2c(-c3ccncc3)nc(C#Cc3cscn3)nc12)Cc1ccccc1 ; NC(CNc1csc2c1nc(NCCSc1cscn1)nc2-c1ccncc1)Cc1ccccn1
O=C(c1cc(N2CCCC2)ccc1[N+](=O)[O-])N1CCN(S(=O)(=O)c2ccccc2)CC1 ; [C-]#[N+]c1ccc(N2CCCC2)cc1N(C)N1CCN(S(=O)(=O)c2ccccn2)CC1
Cc1sc2ncnc(N3CCN(S(=O)(=O)c4ccc(C(C)(C)C)cc4)CC3)c2c1C ; CCS(=O)(=O)N1CCN(c2c3c(SC)c(-c4nnc(C(C)(C)C)n4C)sc3ncn2)CC1
CC=C1C(=O)OC(c2ccc(OCc3ccc([N+](=O)[O-])cc3)c(OCC)c2)(C(C)(C)C)OC1=O ; [C-]#[N+]c1ccc(CCOCc2ccc(C3(C(C)(C)C)OC(=O)C(=CO)C(=O)O3)cc2OCC)nc1
Cc1ccc(C(=O)Nc2cccc([N+](=O)[O-])c2)cc1S(=O)(=O)Nc1ccccc1Cl ; CNc1cccnc1NS(=O)(=O)c1cc(C(=O)CCc2cc(N=[N+]=[N-])ccn2)ccc1N
COCCCN=C(C)c1c(-c2ccc(OC)cc2)[nH]n(-c2nc3ccccc3s2)c1=O ; COCCCN=C(C)c1c(-c2ccc(OC)cc2)nc(-c2ccc3scnc3c2)[nH]c1=O
CCNC(=O)c1cccc(NC(=O)NS(=O)(=O)c2ccc(C)cc2)c1 ; CSc1ccc(S(=O)(=O)NC(=O)Nc2nc(NC(=O)CCCCl)cs2)nc1
COc1ccc(NC(=O)Nc2cccc(S(=O)(=O)Nc3ccc(Cl)c(Cl)c3)c2)cc1 ; CNc1cc(NS(=O)(=O)c2cc(NC(=O)Nc3ccc(O)cc3)ccc2)ccc1C#N
Cc1ccccc1C(=CC=CC(=O)c1ccccc1)N1CCOCC1 ; C=CCc1cccn1C(C(=O)c1ccccc1)C1CCOCC1
O=C(CCS(=O)(=O)c1ccc(F)cc1)Nc1nc(-c2cc3ccccc3o2)cs1 ; CCCSc1ccc(S(=O)(=O)CCC(=O)Nc2nc(-c3cc4ccccc4o3)cs2)cc1
COc1ccc2nc(-n3[nH]c(-c4ccccc4)cc3=O)sc2c1 ; NCn1nc2ccc(-n3[nH]c(-c4ccccc4)cc3=O)cc2n1
O=C(Nc1cccc2nsnc12)c1ccc2c(c1)OCCO2 ; O=C(Nc1cccc2nsnc12)c1ccc2OCCOc2c1
COc1ccc(NS(=O)(=O)c2ccc(C(C)N)cc2)cn1 ; CCCc1ccc(NS(=O)(=O)c2ccc(C3CN3)cc2)cn1
O=C(Nc1csc(-c2ccccn2)n1)c1ccc(Br)s1 ; O=C(Oc1csc(-c2ccccn2)n1)c1ccc([O-])s1
CCN(CC)S(=O)(=O)c1cc(NC(=O)c2ccccn2)ccc1Br ; O=C(NCc1ccc([O-])c([SH](=O)=O)c1)c1ccccn1
Cc1cc(-c2ccc(Cl)cc2)c2cnn(C(C)C)c2n1 ; C=CCc1cc(-c2ccc(Cl)cc2)c2cnn(C3CC3)c2n1
COc1ccccc1C(=O)Nc1ccc2nc(SCC(=O)N(C)C)sc2c1 ; CCCc1ccccc1C(=O)NCc1ccc2nc(SCC(=O)N(C)C)sc2c1
CN(c1ccc(Br)cc1)S(=O)(=O)c1cccc(C(=O)Nc2ccc(Cl)cn2)c1 ; [B]c1ccc(N(C)S(=O)(=O)c2cccc(C(=O)NCc3ccc(NC)cn3)c2)nc1
N#Cc1cc(C(=O)c2ccc(O)cc2Br)cn2cc(-c3ccccc3)nc12 ; C#Cc1nc(Br)c(C(O)Nc2cn3cc(-c4ccccc4)nc3c(C=C)c2)s1
CC(=O)c1ccc(Sn2nnnc2-c2cccc(C)c2C)c([N+](=O)[O-])c1 ; CCNC(=O)Nc1ccc(CCNn2nnnc2-c2cccc(C)c2C)c([N+](=O)[O-])c1
COC(=O)c1ccc(NC(=O)CN(Cc2ccccc2)S(=O)(=O)c2ccc(C)cc2)cc1 ; COC(=O)c1ccc(-c2cn3ncc(CN(CC(N)=O)S(=O)(=O)c4ccc(SC)cc4)c3nc2)cc1
CCS(=O)(=O)n1nc(-c2ccc(OC)cc2)cc1N ; CCS(=O)(=O)c1ccc(-c2ccc(CN)cc2)nc1NO
CC1CN(S(=O)(=O)c2ccc(NC(=O)c3csc(-c4cc5ccccc5o4)n3)cc2)CC(C)O1 ; CSC1CN(S(=O)(=O)c2ccc(NC(=O)CSc3coc(-c4ccc5oc(C)cc5c4)n3)cc2)CCO1
CCCCC1(C)OC(=O)C(=Cc2ccc(OCc3ccc([N+](=O)[O-])cc3)cc2)C(=O)O1 ; [C-]#[N+]c1ccc(CCOCc2ccc(C=C3C(=O)OC(SC)(C(C)(C)CC)OC3=O)cc2)cc1
C=S(=O)(Nc1nc2ccccc2nc1Nc1ccc2c(c1)OCO2)c1ccc(Br)cc1 ; C=S(=O)(Nc1nc2ccccc2nc1C1CCC(c2ccc3OCCOc3c2)CC1)c1ccc(Br)cc1
Cc1cc([N+](=O)[O-])ccc1NC(=O)c1cc2ccccc2cc1O ; CSc1cc(C(=O)OCC(=O)NC(C)(C)C)ccc1OC(=O)c1cc2ccccc2cc1I
CC(C)COC(=O)C(C#N)=Cc1ccccc1-n1cncn1 ; CCOC(=O)C(C#N)=Cc1ccccc1-n1cncn1
Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)COC(=O)c1ccc2ccccc2n1 ; C=CCc1cn(S(=O)(=O)N(CC)CC)nc1NC(=O)COC(=O)c1ccc2ccccc2n1
COc1ccccc1C(=O)Nc1ccc2nc(SCC(=O)NCc3ccccc3)sc2c1 ; CC(NC(=O)CSc1nc2ccc(NC(=O)c3ccccc3F)cc2s1)c1ccccn1
Cc1ccc(Nc2nc(N)nc(C(F)(F)F)n2)c(C)c1 ; CSc1nc(C)ncc1Nc1c(C(F)(F)F)[nH]nc1N
CC(C)c1ccc(NC(=O)COc2ccncc2)c(Br)c1 ; N#CC(=Cc1ccncc1)C(=O)Nc1ccc(N)cc1[O-]
Cc1cc(NC(=O)CCS(=O)(=O)c2nc(-c3ccccc3)cc(C(F)(F)F)n2)no1 ; Cc1cc(NC(=O)CCS(=O)(=O)c2cc(-c3ccccc3)nc(C(Cl)(Cl)Cl)n2)no1
